2023-01-29 16:07:02,554 INFO u.Log [main] ---------------------------------------------------------------------------------------
2023-01-29 16:07:02,558 INFO u.Log [main] ***********************        Product List START    **************************
2023-01-29 16:07:02,558 INFO u.Log [main] ---------------------------------------------------------------------------------------
2023-01-29 16:07:02,576 INFO u.Log [main] [id:1, name:Blue Top, price:Rs. 500, brand:Polo, category:[usertype:[usertype:Women], category:Tops]]
2023-01-29 16:07:02,596 INFO u.Log [main] [id:2, name:Men Tshirt, price:Rs. 400, brand:H&M, category:[usertype:[usertype:Men], category:Tshirts]]
2023-01-29 16:07:02,648 INFO u.Log [main] [id:3, name:Sleeveless Dress, price:Rs. 1000, brand:Madame, category:[usertype:[usertype:Women], category:Dress]]
2023-01-29 16:07:02,674 INFO u.Log [main] [id:4, name:Stylish Dress, price:Rs. 1500, brand:Madame, category:[usertype:[usertype:Women], category:Dress]]
2023-01-29 16:07:02,694 INFO u.Log [main] [id:5, name:Winter Top, price:Rs. 600, brand:Mast & Harbour, category:[usertype:[usertype:Women], category:Tops]]
2023-01-29 16:07:02,709 INFO u.Log [main] [id:6, name:Summer White Top, price:Rs. 400, brand:H&M, category:[usertype:[usertype:Women], category:Tops]]
2023-01-29 16:07:02,736 INFO u.Log [main] [id:7, name:Madame Top For Women, price:Rs. 1000, brand:Madame, category:[usertype:[usertype:Women], category:Tops]]
2023-01-29 16:07:02,752 INFO u.Log [main] [id:8, name:Fancy Green Top, price:Rs. 700, brand:Polo, category:[usertype:[usertype:Women], category:Tops]]
2023-01-29 16:07:02,771 INFO u.Log [main] [id:11, name:Sleeves Printed Top - White, price:Rs. 499, brand:Babyhug, category:[usertype:[usertype:Kids], category:Tops & Shirts]]
2023-01-29 16:07:02,791 INFO u.Log [main] [id:12, name:Half Sleeves Top Schiffli Detailing - Pink, price:Rs. 359, brand:Babyhug, category:[usertype:[usertype:Kids], category:Tops & Shirts]]
2023-01-29 16:07:02,806 INFO u.Log [main] [id:13, name:Frozen Tops For Kids, price:Rs. 278, brand:Allen Solly Junior, category:[usertype:[usertype:Kids], category:Tops & Shirts]]
2023-01-29 16:07:02,822 INFO u.Log [main] [id:14, name:Full Sleeves Top Cherry - Pink, price:Rs. 679, brand:Kookie Kids, category:[usertype:[usertype:Kids], category:Tops & Shirts]]
2023-01-29 16:07:02,842 INFO u.Log [main] [id:15, name:Printed Off Shoulder Top - White, price:Rs. 315, brand:Babyhug, category:[usertype:[usertype:Kids], category:Tops & Shirts]]
2023-01-29 16:07:02,863 INFO u.Log [main] [id:16, name:Sleeves Top and Short - Blue & Pink, price:Rs. 478, brand:Babyhug, category:[usertype:[usertype:Kids], category:Dress]]
2023-01-29 16:07:02,878 INFO u.Log [main] [id:18, name:Little Girls Mr. Panda Shirt, price:Rs. 1200, brand:Kookie Kids, category:[usertype:[usertype:Kids], category:Tops & Shirts]]
2023-01-29 16:07:02,894 INFO u.Log [main] [id:19, name:Sleeveless Unicorn Patch Gown - Pink, price:Rs. 1050, brand:Allen Solly Junior, category:[usertype:[usertype:Kids], category:Dress]]
2023-01-29 16:07:02,912 INFO u.Log [main] [id:20, name:Cotton Mull Embroidered Dress, price:Rs. 1190, brand:Kookie Kids, category:[usertype:[usertype:Kids], category:Dress]]
2023-01-29 16:07:02,930 INFO u.Log [main] [id:21, name:Blue Cotton Indie Mickey Dress, price:Rs. 1530, brand:Biba, category:[usertype:[usertype:Kids], category:Dress]]
2023-01-29 16:07:02,943 INFO u.Log [main] [id:22, name:Long Maxi Tulle Fancy Dress Up Outfits -Pink, price:Rs. 1600, brand:Biba, category:[usertype:[usertype:Kids], category:Dress]]
2023-01-29 16:07:02,960 INFO u.Log [main] [id:23, name:Sleeveless Unicorn Print Fit & Flare Net Dress - Multi, price:Rs. 1100, brand:Biba, category:[usertype:[usertype:Kids], category:Dress]]
2023-01-29 16:07:02,972 INFO u.Log [main] [id:24, name:Colour Blocked Shirt – Sky Blue, price:Rs. 849, brand:Allen Solly Junior, category:[usertype:[usertype:Kids], category:Tops & Shirts]]
