2023-02-22 16:33:16,867 INFO t._08_AutoExerciseGetProducts [main] [id:1, name:Blue Top, price:Rs. 500, brand:Polo, category:[usertype:[usertype:Women], category:Tops]]
2023-02-22 16:33:16,903 INFO t._08_AutoExerciseGetProducts [main] [id:2, name:Men Tshirt, price:Rs. 400, brand:H&M, category:[usertype:[usertype:Men], category:Tshirts]]
2023-02-22 16:33:16,952 INFO t._08_AutoExerciseGetProducts [main] [id:3, name:Sleeveless Dress, price:Rs. 1000, brand:Madame, category:[usertype:[usertype:Women], category:Dress]]
2023-02-22 16:33:16,979 INFO t._08_AutoExerciseGetProducts [main] [id:4, name:Stylish Dress, price:Rs. 1500, brand:Madame, category:[usertype:[usertype:Women], category:Dress]]
2023-02-22 16:33:17,011 INFO t._08_AutoExerciseGetProducts [main] [id:5, name:Winter Top, price:Rs. 600, brand:Mast & Harbour, category:[usertype:[usertype:Women], category:Tops]]
2023-02-22 16:33:17,041 INFO t._08_AutoExerciseGetProducts [main] [id:6, name:Summer White Top, price:Rs. 400, brand:H&M, category:[usertype:[usertype:Women], category:Tops]]
2023-02-22 16:33:17,065 INFO t._08_AutoExerciseGetProducts [main] [id:7, name:Madame Top For Women, price:Rs. 1000, brand:Madame, category:[usertype:[usertype:Women], category:Tops]]
2023-02-22 16:33:17,089 INFO t._08_AutoExerciseGetProducts [main] [id:8, name:Fancy Green Top, price:Rs. 700, brand:Polo, category:[usertype:[usertype:Women], category:Tops]]
2023-02-22 16:33:17,115 INFO t._08_AutoExerciseGetProducts [main] [id:11, name:Sleeves Printed Top - White, price:Rs. 499, brand:Babyhug, category:[usertype:[usertype:Kids], category:Tops & Shirts]]
2023-02-22 16:33:17,137 INFO t._08_AutoExerciseGetProducts [main] [id:12, name:Half Sleeves Top Schiffli Detailing - Pink, price:Rs. 359, brand:Babyhug, category:[usertype:[usertype:Kids], category:Tops & Shirts]]
2023-02-22 16:33:17,160 INFO t._08_AutoExerciseGetProducts [main] [id:13, name:Frozen Tops For Kids, price:Rs. 278, brand:Allen Solly Junior, category:[usertype:[usertype:Kids], category:Tops & Shirts]]
2023-02-22 16:33:17,182 INFO t._08_AutoExerciseGetProducts [main] [id:14, name:Full Sleeves Top Cherry - Pink, price:Rs. 679, brand:Kookie Kids, category:[usertype:[usertype:Kids], category:Tops & Shirts]]
2023-02-22 16:33:17,204 INFO t._08_AutoExerciseGetProducts [main] [id:15, name:Printed Off Shoulder Top - White, price:Rs. 315, brand:Babyhug, category:[usertype:[usertype:Kids], category:Tops & Shirts]]
2023-02-22 16:33:17,228 INFO t._08_AutoExerciseGetProducts [main] [id:16, name:Sleeves Top and Short - Blue & Pink, price:Rs. 478, brand:Babyhug, category:[usertype:[usertype:Kids], category:Dress]]
2023-02-22 16:33:17,251 INFO t._08_AutoExerciseGetProducts [main] [id:18, name:Little Girls Mr. Panda Shirt, price:Rs. 1200, brand:Kookie Kids, category:[usertype:[usertype:Kids], category:Tops & Shirts]]
2023-02-22 16:33:17,272 INFO t._08_AutoExerciseGetProducts [main] [id:19, name:Sleeveless Unicorn Patch Gown - Pink, price:Rs. 1050, brand:Allen Solly Junior, category:[usertype:[usertype:Kids], category:Dress]]
2023-02-22 16:33:17,300 INFO t._08_AutoExerciseGetProducts [main] [id:20, name:Cotton Mull Embroidered Dress, price:Rs. 1190, brand:Kookie Kids, category:[usertype:[usertype:Kids], category:Dress]]
2023-02-22 16:33:17,331 INFO t._08_AutoExerciseGetProducts [main] [id:21, name:Blue Cotton Indie Mickey Dress, price:Rs. 1530, brand:Biba, category:[usertype:[usertype:Kids], category:Dress]]
2023-02-22 16:33:17,371 INFO t._08_AutoExerciseGetProducts [main] [id:22, name:Long Maxi Tulle Fancy Dress Up Outfits -Pink, price:Rs. 1600, brand:Biba, category:[usertype:[usertype:Kids], category:Dress]]
2023-02-22 16:33:17,436 INFO t._08_AutoExerciseGetProducts [main] [id:23, name:Sleeveless Unicorn Print Fit & Flare Net Dress - Multi, price:Rs. 1100, brand:Biba, category:[usertype:[usertype:Kids], category:Dress]]
2023-02-22 16:33:17,463 INFO t._08_AutoExerciseGetProducts [main] [id:24, name:Colour Blocked Shirt – Sky Blue, price:Rs. 849, brand:Allen Solly Junior, category:[usertype:[usertype:Kids], category:Tops & Shirts]]
2023-02-22 16:33:17,488 INFO t._08_AutoExerciseGetProducts [main] [id:28, name:Pure Cotton V-Neck T-Shirt, price:Rs. 1299, brand:H&M, category:[usertype:[usertype:Men], category:Tshirts]]
2023-02-22 16:33:17,515 INFO t._08_AutoExerciseGetProducts [main] [id:29, name:Green Side Placket Detail T-Shirt, price:Rs. 1000, brand:Polo, category:[usertype:[usertype:Men], category:Tshirts]]
2023-02-22 16:33:17,544 INFO t._08_AutoExerciseGetProducts [main] [id:30, name:Premium Polo T-Shirts, price:Rs. 1500, brand:Polo, category:[usertype:[usertype:Men], category:Tshirts]]
2023-02-22 16:33:17,571 INFO t._08_AutoExerciseGetProducts [main] [id:31, name:Pure Cotton Neon Green Tshirt, price:Rs. 850, brand:H&M, category:[usertype:[usertype:Men], category:Tshirts]]
2023-02-22 16:33:17,601 INFO t._08_AutoExerciseGetProducts [main] [id:33, name:Soft Stretch Jeans, price:Rs. 799, brand:Polo, category:[usertype:[usertype:Men], category:Jeans]]
2023-02-22 16:33:17,623 INFO t._08_AutoExerciseGetProducts [main] [id:35, name:Regular Fit Straight Jeans, price:Rs. 1200, brand:H&M, category:[usertype:[usertype:Men], category:Jeans]]
2023-02-22 16:33:17,652 INFO t._08_AutoExerciseGetProducts [main] [id:37, name:Grunt Blue Slim Fit Jeans, price:Rs. 1400, brand:Polo, category:[usertype:[usertype:Men], category:Jeans]]
2023-02-22 16:33:17,688 INFO t._08_AutoExerciseGetProducts [main] [id:38, name:Rose Pink Embroidered Maxi Dress, price:Rs. 2300, brand:Madame, category:[usertype:[usertype:Women], category:Dress]]
2023-02-22 16:33:17,719 INFO t._08_AutoExerciseGetProducts [main] [id:39, name:Cotton Silk Hand Block Print Saree, price:Rs. 3000, brand:Biba, category:[usertype:[usertype:Women], category:Saree]]
2023-02-22 16:33:17,742 INFO t._08_AutoExerciseGetProducts [main] [id:40, name:Rust Red Linen Saree, price:Rs. 3500, brand:Biba, category:[usertype:[usertype:Women], category:Saree]]
2023-02-22 16:33:17,765 INFO t._08_AutoExerciseGetProducts [main] [id:41, name:Beautiful Peacock Blue Cotton Linen Saree, price:Rs. 5000, brand:Madame, category:[usertype:[usertype:Women], category:Saree]]
2023-02-22 16:33:17,786 INFO t._08_AutoExerciseGetProducts [main] [id:42, name:Lace Top For Women, price:Rs. 1400, brand:Mast & Harbour, category:[usertype:[usertype:Women], category:Tops]]
2023-02-22 16:33:17,808 INFO t._08_AutoExerciseGetProducts [main] [id:43, name:GRAPHIC DESIGN MEN T SHIRT - BLUE, price:Rs. 1389, brand:Mast & Harbour, category:[usertype:[usertype:Men], category:Tshirts]]
